word,sentence_id,lexical_n_letters,grammatical_gender,grammatical_number,grammatical_pos,grammatical_tense,grammatical_person,sequential_posit_from_start,sentential_question,structural_depth_in_tree
John,217,2,m,sg,N,,3.0,0,False,1.0
sings,217,2,,sg,N,pres,3.0,1,False,0.0
John,218,2,m,sg,N,,3.0,0,False,1.0
sneezes,218,3,,sg,N,pres,3.0,1,False,0.0
John,219,2,m,sg,N,,3.0,0,False,1.0
played,219,2,,,N,past,,1,False,0.0
John,220,2,m,sg,N,,3.0,0,False,1.0
sang,220,2,,,N,past,,1,False,0.0
John,221,2,m,sg,N,,3.0,0,False,1.0
sneezed,221,3,,,V,past,,1,False,0.0
John,222,2,m,sg,N,,3.0,0,False,1.0
falls,222,2,,sg,N,pres,3.0,1,False,0.0
John,223,2,m,sg,N,,3.0,0,False,1.0
disappears,223,3,,sg,N,pres,3.0,1,False,0.0
John,224,2,m,sg,N,,3.0,0,False,1.0
vanishes,224,3,,sg,N,pres,3.0,1,False,0.0
John,225,2,m,sg,N,,3.0,0,False,1.0
fell,225,2,,,V,past,,1,False,0.0
John,226,2,m,sg,N,,3.0,0,False,1.0
disappeared,226,3,,,V,past,,1,False,0.0
John,227,2,m,sg,N,,3.0,0,False,1.0
vanished,227,3,,,N,past,,1,False,0.0
do,228,1,,sg,Aux,pres,1.0,0,True,1.0
I,228,1,,sg,PRP,,1.0,1,True,1.0
play,228,2,,sg,N,pres,1.0,2,True,0.0
?,228,1,,,.,,,3,True,1.0
do,229,1,,sg,Aux,pres,1.0,0,True,1.0
I,229,1,,sg,PRP,,1.0,1,True,1.0
sing,229,2,,sg,V,pres,1.0,2,True,0.0
?,229,1,,,.,,,3,True,1.0
do,230,1,,sg,Aux,pres,1.0,0,True,1.0
I,230,1,,sg,PRP,,1.0,1,True,1.0
sneeze,230,2,,sg,N,pres,1.0,2,True,0.0
?,230,1,,,.,,,3,True,1.0
do,231,1,,sg,Aux,pres,1.0,0,True,1.0
I,231,1,,sg,PRP,,1.0,1,True,1.0
fall,231,2,,sg,N,pres,1.0,2,True,0.0
?,231,1,,,.,,,3,True,1.0
do,232,1,,sg,Aux,pres,1.0,0,True,1.0
I,232,1,,sg,PRP,,1.0,1,True,1.0
disappear,232,3,,sg,N,pres,1.0,2,True,0.0
?,232,1,,,.,,,3,True,1.0
do,233,1,,sg,Aux,pres,1.0,0,True,1.0
I,233,1,,sg,PRP,,1.0,1,True,1.0
vanish,233,2,,sg,N,pres,1.0,2,True,0.0
?,233,1,,,.,,,3,True,1.0
do,234,1,,pl,Aux,pres,,0,True,1.0
you,234,1,,,PRP,,2.0,1,True,1.0
play,234,2,,pl,N,pres,,2,True,0.0
?,234,1,,,.,,,3,True,1.0
do,235,1,,sg,Aux,pres,2.0,0,True,1.0
you,235,1,,,PRP,,2.0,1,True,1.0
play,235,2,,sg,N,pres,1.0,2,True,0.0
?,235,1,,,.,,,3,True,1.0
do,236,1,,pl,Aux,pres,,0,True,1.0
you,236,1,,,PRP,,2.0,1,True,1.0
sing,236,2,,pl,V,pres,,2,True,0.0
?,236,1,,,.,,,3,True,1.0
do,237,1,,sg,Aux,pres,2.0,0,True,1.0
you,237,1,,,PRP,,2.0,1,True,1.0
sing,237,2,,sg,V,pres,1.0,2,True,0.0
?,237,1,,,.,,,3,True,1.0
do,238,1,,pl,Aux,pres,,0,True,1.0
you,238,1,,,PRP,,2.0,1,True,1.0
sneeze,238,2,,pl,N,pres,,2,True,0.0
?,238,1,,,.,,,3,True,1.0
do,239,1,,sg,Aux,pres,2.0,0,True,1.0
you,239,1,,,PRP,,2.0,1,True,1.0
sneeze,239,2,,sg,N,pres,1.0,2,True,0.0
?,239,1,,,.,,,3,True,1.0
do,240,1,,pl,Aux,pres,,0,True,1.0
you,240,1,,,PRP,,2.0,1,True,1.0
fall,240,2,,pl,N,pres,,2,True,0.0
?,240,1,,,.,,,3,True,1.0
do,241,1,,sg,Aux,pres,2.0,0,True,1.0
you,241,1,,,PRP,,2.0,1,True,1.0
fall,241,2,,sg,N,pres,1.0,2,True,0.0
?,241,1,,,.,,,3,True,1.0
do,242,1,,pl,Aux,pres,,0,True,1.0
you,242,1,,,PRP,,2.0,1,True,1.0
disappear,242,3,,pl,N,pres,,2,True,0.0
?,242,1,,,.,,,3,True,1.0
do,243,1,,sg,Aux,pres,2.0,0,True,1.0
you,243,1,,,PRP,,2.0,1,True,1.0
disappear,243,3,,sg,N,pres,1.0,2,True,0.0
?,243,1,,,.,,,3,True,1.0
do,244,1,,pl,Aux,pres,,0,True,1.0
you,244,1,,,PRP,,2.0,1,True,1.0
vanish,244,2,,pl,N,pres,,2,True,0.0
?,244,1,,,.,,,3,True,1.0
do,245,1,,sg,Aux,pres,2.0,0,True,1.0
you,245,1,,,PRP,,2.0,1,True,1.0
vanish,245,2,,sg,N,pres,1.0,2,True,0.0
?,245,1,,,.,,,3,True,1.0
do,246,1,,pl,Aux,pres,,0,True,1.0
we,246,1,,pl,PRP,,1.0,1,True,1.0
play,246,2,,pl,N,pres,,2,True,0.0
?,246,1,,,.,,,3,True,1.0
do,247,1,,pl,Aux,pres,,0,True,1.0
we,247,1,,pl,PRP,,1.0,1,True,1.0
sing,247,2,,pl,V,pres,,2,True,0.0
?,247,1,,,.,,,3,True,1.0
do,248,1,,pl,Aux,pres,,0,True,1.0
we,248,1,,pl,PRP,,1.0,1,True,1.0
sneeze,248,2,,pl,N,pres,,2,True,0.0
?,248,1,,,.,,,3,True,1.0
do,249,1,,pl,Aux,pres,,0,True,1.0
we,249,1,,pl,PRP,,1.0,1,True,1.0
fall,249,2,,pl,N,pres,,2,True,0.0
?,249,1,,,.,,,3,True,1.0
do,250,1,,pl,Aux,pres,,0,True,1.0
we,250,1,,pl,PRP,,1.0,1,True,1.0
disappear,250,3,,pl,N,pres,,2,True,0.0
?,250,1,,,.,,,3,True,1.0
do,251,1,,pl,Aux,pres,,0,True,1.0
we,251,1,,pl,PRP,,1.0,1,True,1.0
vanish,251,2,,pl,N,pres,,2,True,0.0
?,251,1,,,.,,,3,True,1.0
do,252,1,,pl,Aux,pres,,0,True,1.0
they,252,2,,pl,PRP,,3.0,1,True,1.0
play,252,2,,pl,N,pres,,2,True,0.0
?,252,1,,,.,,,3,True,1.0
do,253,1,,pl,Aux,pres,,0,True,1.0
they,253,2,,pl,PRP,,3.0,1,True,1.0
sing,253,2,,pl,V,pres,,2,True,0.0
?,253,1,,,.,,,3,True,1.0
do,254,1,,pl,Aux,pres,,0,True,1.0
they,254,2,,pl,PRP,,3.0,1,True,1.0
sneeze,254,2,,pl,N,pres,,2,True,0.0
?,254,1,,,.,,,3,True,1.0
do,255,1,,pl,Aux,pres,,0,True,1.0
they,255,2,,pl,PRP,,3.0,1,True,1.0
fall,255,2,,pl,N,pres,,2,True,0.0
?,255,1,,,.,,,3,True,1.0
do,256,1,,pl,Aux,pres,,0,True,1.0
they,256,2,,pl,PRP,,3.0,1,True,1.0
disappear,256,3,,pl,N,pres,,2,True,0.0
?,256,1,,,.,,,3,True,1.0
do,257,1,,pl,Aux,pres,,0,True,1.0
they,257,2,,pl,PRP,,3.0,1,True,1.0
vanish,257,2,,pl,N,pres,,2,True,0.0
?,257,1,,,.,,,3,True,1.0
does,258,2,,sg,Aux,pres,3.0,0,True,1.0
he,258,1,m,sg,PRP,,3.0,1,True,1.0
play,258,2,,sg,N,pres,1.0,2,True,0.0
?,258,1,,,.,,,3,True,1.0
does,259,2,,sg,Aux,pres,3.0,0,True,1.0
he,259,1,m,sg,PRP,,3.0,1,True,1.0
sing,259,2,,sg,V,pres,1.0,2,True,0.0
?,259,1,,,.,,,3,True,1.0
does,260,2,,sg,Aux,pres,3.0,0,True,1.0
he,260,1,m,sg,PRP,,3.0,1,True,1.0
sneeze,260,2,,sg,N,pres,1.0,2,True,0.0
?,260,1,,,.,,,3,True,1.0
does,261,2,,sg,Aux,pres,3.0,0,True,1.0
he,261,1,m,sg,PRP,,3.0,1,True,1.0
fall,261,2,,sg,N,pres,1.0,2,True,0.0
?,261,1,,,.,,,3,True,1.0
does,262,2,,sg,Aux,pres,3.0,0,True,1.0
he,262,1,m,sg,PRP,,3.0,1,True,1.0
disappear,262,3,,sg,N,pres,1.0,2,True,0.0
?,262,1,,,.,,,3,True,1.0
does,263,2,,sg,Aux,pres,3.0,0,True,1.0
he,263,1,m,sg,PRP,,3.0,1,True,1.0
vanish,263,2,,sg,N,pres,1.0,2,True,0.0
?,263,1,,,.,,,3,True,1.0
does,264,2,,sg,Aux,pres,3.0,0,True,1.0
she,264,1,f,sg,PRP,,3.0,1,True,1.0
play,264,2,,sg,N,pres,1.0,2,True,0.0
?,264,1,,,.,,,3,True,1.0
does,265,2,,sg,Aux,pres,3.0,0,True,1.0
she,265,1,f,sg,PRP,,3.0,1,True,1.0
sing,265,2,,sg,V,pres,1.0,2,True,0.0
?,265,1,,,.,,,3,True,1.0
does,266,2,,sg,Aux,pres,3.0,0,True,1.0
she,266,1,f,sg,PRP,,3.0,1,True,1.0
sneeze,266,2,,sg,N,pres,1.0,2,True,0.0
?,266,1,,,.,,,3,True,1.0
does,267,2,,sg,Aux,pres,3.0,0,True,1.0
she,267,1,f,sg,PRP,,3.0,1,True,1.0
fall,267,2,,sg,N,pres,1.0,2,True,0.0
?,267,1,,,.,,,3,True,1.0
does,268,2,,sg,Aux,pres,3.0,0,True,1.0
she,268,1,f,sg,PRP,,3.0,1,True,1.0
disappear,268,3,,sg,N,pres,1.0,2,True,0.0
?,268,1,,,.,,,3,True,1.0
does,269,2,,sg,Aux,pres,3.0,0,True,1.0
she,269,1,f,sg,PRP,,3.0,1,True,1.0
vanish,269,2,,sg,N,pres,1.0,2,True,0.0
?,269,1,,,.,,,3,True,1.0
did,270,1,,,Aux,past,,0,True,1.0
I,270,1,,sg,PRP,,1.0,1,True,1.0
play,270,2,,sg,N,pres,1.0,2,True,0.0
?,270,1,,,.,,,3,True,1.0
did,271,1,,,Aux,past,,0,True,1.0
I,271,1,,sg,PRP,,1.0,1,True,1.0
sing,271,2,,sg,V,pres,1.0,2,True,0.0
?,271,1,,,.,,,3,True,1.0
did,272,1,,,Aux,past,,0,True,1.0
I,272,1,,sg,PRP,,1.0,1,True,1.0
sneeze,272,2,,sg,N,pres,1.0,2,True,0.0
?,272,1,,,.,,,3,True,1.0
did,273,1,,,Aux,past,,0,True,1.0
I,273,1,,sg,PRP,,1.0,1,True,1.0
fall,273,2,,sg,N,pres,1.0,2,True,0.0
?,273,1,,,.,,,3,True,1.0
did,274,1,,,Aux,past,,0,True,1.0
I,274,1,,sg,PRP,,1.0,1,True,1.0
disappear,274,3,,sg,N,pres,1.0,2,True,0.0
?,274,1,,,.,,,3,True,1.0
did,275,1,,,Aux,past,,0,True,1.0
I,275,1,,sg,PRP,,1.0,1,True,1.0
vanish,275,2,,sg,N,pres,1.0,2,True,0.0
?,275,1,,,.,,,3,True,1.0
did,276,1,,,Aux,past,,0,True,1.0
you,276,1,,,PRP,,2.0,1,True,1.0
play,276,2,,pl,N,pres,,2,True,0.0
?,276,1,,,.,,,3,True,1.0
did,277,1,,,Aux,past,,0,True,1.0
you,277,1,,,PRP,,2.0,1,True,1.0
play,277,2,,sg,N,pres,1.0,2,True,0.0
?,277,1,,,.,,,3,True,1.0
did,278,1,,,Aux,past,,0,True,1.0
you,278,1,,,PRP,,2.0,1,True,1.0
sing,278,2,,pl,V,pres,,2,True,0.0
?,278,1,,,.,,,3,True,1.0
did,279,1,,,Aux,past,,0,True,1.0
you,279,1,,,PRP,,2.0,1,True,1.0
sing,279,2,,sg,V,pres,1.0,2,True,0.0
?,279,1,,,.,,,3,True,1.0
did,280,1,,,Aux,past,,0,True,1.0
you,280,1,,,PRP,,2.0,1,True,1.0
sneeze,280,2,,pl,N,pres,,2,True,0.0
?,280,1,,,.,,,3,True,1.0
did,281,1,,,Aux,past,,0,True,1.0
you,281,1,,,PRP,,2.0,1,True,1.0
sneeze,281,2,,sg,N,pres,1.0,2,True,0.0
?,281,1,,,.,,,3,True,1.0
did,282,1,,,Aux,past,,0,True,1.0
you,282,1,,,PRP,,2.0,1,True,1.0
fall,282,2,,pl,N,pres,,2,True,0.0
?,282,1,,,.,,,3,True,1.0
did,283,1,,,Aux,past,,0,True,1.0
you,283,1,,,PRP,,2.0,1,True,1.0
fall,283,2,,sg,N,pres,1.0,2,True,0.0
?,283,1,,,.,,,3,True,1.0
did,284,1,,,Aux,past,,0,True,1.0
you,284,1,,,PRP,,2.0,1,True,1.0
disappear,284,3,,pl,N,pres,,2,True,0.0
?,284,1,,,.,,,3,True,1.0
did,285,1,,,Aux,past,,0,True,1.0
you,285,1,,,PRP,,2.0,1,True,1.0
disappear,285,3,,sg,N,pres,1.0,2,True,0.0
?,285,1,,,.,,,3,True,1.0
did,286,1,,,Aux,past,,0,True,1.0
you,286,1,,,PRP,,2.0,1,True,1.0
vanish,286,2,,pl,N,pres,,2,True,0.0
?,286,1,,,.,,,3,True,1.0
did,287,1,,,Aux,past,,0,True,1.0
you,287,1,,,PRP,,2.0,1,True,1.0
vanish,287,2,,sg,N,pres,1.0,2,True,0.0
?,287,1,,,.,,,3,True,1.0
did,288,1,,,Aux,past,,0,True,1.0
he,288,1,m,sg,PRP,,3.0,1,True,1.0
play,288,2,,sg,N,pres,1.0,2,True,0.0
?,288,1,,,.,,,3,True,1.0
did,289,1,,,Aux,past,,0,True,1.0
he,289,1,m,sg,PRP,,3.0,1,True,1.0
sing,289,2,,sg,V,pres,1.0,2,True,0.0
?,289,1,,,.,,,3,True,1.0
did,290,1,,,Aux,past,,0,True,1.0
he,290,1,m,sg,PRP,,3.0,1,True,1.0
sneeze,290,2,,sg,N,pres,1.0,2,True,0.0
?,290,1,,,.,,,3,True,1.0
did,291,1,,,Aux,past,,0,True,1.0
he,291,1,m,sg,PRP,,3.0,1,True,1.0
fall,291,2,,sg,N,pres,1.0,2,True,0.0
?,291,1,,,.,,,3,True,1.0
did,292,1,,,Aux,past,,0,True,1.0
he,292,1,m,sg,PRP,,3.0,1,True,1.0
disappear,292,3,,sg,N,pres,1.0,2,True,0.0
?,292,1,,,.,,,3,True,1.0
did,293,1,,,Aux,past,,0,True,1.0
he,293,1,m,sg,PRP,,3.0,1,True,1.0
vanish,293,2,,sg,N,pres,1.0,2,True,0.0
?,293,1,,,.,,,3,True,1.0
did,294,1,,,Aux,past,,0,True,1.0
she,294,1,f,sg,PRP,,3.0,1,True,1.0
play,294,2,,sg,N,pres,1.0,2,True,0.0
?,294,1,,,.,,,3,True,1.0
did,295,1,,,Aux,past,,0,True,1.0
she,295,1,f,sg,PRP,,3.0,1,True,1.0
sing,295,2,,sg,V,pres,1.0,2,True,0.0
?,295,1,,,.,,,3,True,1.0
did,296,1,,,Aux,past,,0,True,1.0
she,296,1,f,sg,PRP,,3.0,1,True,1.0
sneeze,296,2,,sg,N,pres,1.0,2,True,0.0
?,296,1,,,.,,,3,True,1.0
did,297,1,,,Aux,past,,0,True,1.0
she,297,1,f,sg,PRP,,3.0,1,True,1.0
fall,297,2,,sg,N,pres,1.0,2,True,0.0
?,297,1,,,.,,,3,True,1.0
did,298,1,,,Aux,past,,0,True,1.0
she,298,1,f,sg,PRP,,3.0,1,True,1.0
disappear,298,3,,sg,N,pres,1.0,2,True,0.0
?,298,1,,,.,,,3,True,1.0
did,299,1,,,Aux,past,,0,True,1.0
she,299,1,f,sg,PRP,,3.0,1,True,1.0
vanish,299,2,,sg,N,pres,1.0,2,True,0.0
?,299,1,,,.,,,3,True,1.0
did,300,1,,,Aux,past,,0,True,1.0
we,300,1,,pl,PRP,,1.0,1,True,1.0
play,300,2,,pl,N,pres,,2,True,0.0
?,300,1,,,.,,,3,True,1.0
did,301,1,,,Aux,past,,0,True,1.0
we,301,1,,pl,PRP,,1.0,1,True,1.0
sing,301,2,,pl,V,pres,,2,True,0.0
?,301,1,,,.,,,3,True,1.0
did,302,1,,,Aux,past,,0,True,1.0
we,302,1,,pl,PRP,,1.0,1,True,1.0
sneeze,302,2,,pl,N,pres,,2,True,0.0
?,302,1,,,.,,,3,True,1.0
did,303,1,,,Aux,past,,0,True,1.0
we,303,1,,pl,PRP,,1.0,1,True,1.0
fall,303,2,,pl,N,pres,,2,True,0.0
?,303,1,,,.,,,3,True,1.0
did,304,1,,,Aux,past,,0,True,1.0
we,304,1,,pl,PRP,,1.0,1,True,1.0
disappear,304,3,,pl,N,pres,,2,True,0.0
?,304,1,,,.,,,3,True,1.0
did,305,1,,,Aux,past,,0,True,1.0
we,305,1,,pl,PRP,,1.0,1,True,1.0
vanish,305,2,,pl,N,pres,,2,True,0.0
?,305,1,,,.,,,3,True,1.0
did,306,1,,,Aux,past,,0,True,1.0
they,306,2,,pl,PRP,,3.0,1,True,1.0
play,306,2,,pl,N,pres,,2,True,0.0
?,306,1,,,.,,,3,True,1.0
did,307,1,,,Aux,past,,0,True,1.0
they,307,2,,pl,PRP,,3.0,1,True,1.0
sing,307,2,,pl,V,pres,,2,True,0.0
?,307,1,,,.,,,3,True,1.0
did,308,1,,,Aux,past,,0,True,1.0
they,308,2,,pl,PRP,,3.0,1,True,1.0
sneeze,308,2,,pl,N,pres,,2,True,0.0
?,308,1,,,.,,,3,True,1.0
did,309,1,,,Aux,past,,0,True,1.0
they,309,2,,pl,PRP,,3.0,1,True,1.0
fall,309,2,,pl,N,pres,,2,True,0.0
?,309,1,,,.,,,3,True,1.0
did,310,1,,,Aux,past,,0,True,1.0
they,310,2,,pl,PRP,,3.0,1,True,1.0
disappear,310,3,,pl,N,pres,,2,True,0.0
?,310,1,,,.,,,3,True,1.0
did,311,1,,,Aux,past,,0,True,1.0
they,311,2,,pl,PRP,,3.0,1,True,1.0
vanish,311,2,,pl,N,pres,,2,True,0.0
?,311,1,,,.,,,3,True,1.0
who,312,1,,,W,,3.0,0,True,1.0
plays,312,2,,sg,N,pres,3.0,1,True,0.0
?,312,1,,,.,,,2,True,1.0
who,313,1,,,W,,3.0,0,True,1.0
sings,313,2,,sg,N,pres,3.0,1,True,0.0
?,313,1,,,.,,,2,True,1.0
who,314,1,,,W,,3.0,0,True,1.0
sneezes,314,3,,sg,N,pres,3.0,1,True,0.0
?,314,1,,,.,,,2,True,1.0
who,315,1,,,W,,3.0,0,True,1.0
played,315,2,,,N,past,,1,True,0.0
?,315,1,,,.,,,2,True,1.0
who,316,1,,,W,,3.0,0,True,1.0
sang,316,2,,,N,past,,1,True,0.0
?,316,1,,,.,,,2,True,1.0
who,317,1,,,W,,3.0,0,True,1.0
sneezed,317,3,,,V,past,,1,True,0.0
?,317,1,,,.,,,2,True,1.0
who,318,1,,,W,,3.0,0,True,1.0
falls,318,2,,sg,N,pres,3.0,1,True,0.0
?,318,1,,,.,,,2,True,1.0
who,319,1,,,W,,3.0,0,True,1.0
disappears,319,3,,sg,N,pres,3.0,1,True,0.0
?,319,1,,,.,,,2,True,1.0
who,320,1,,,W,,3.0,0,True,1.0
vanishes,320,3,,sg,N,pres,3.0,1,True,0.0
?,320,1,,,.,,,2,True,1.0
who,321,1,,,W,,3.0,0,True,1.0
fell,321,2,,,V,past,,1,True,0.0
?,321,1,,,.,,,2,True,1.0
who,322,1,,,W,,3.0,0,True,1.0
disappeared,322,3,,,V,past,,1,True,0.0
?,322,1,,,.,,,2,True,1.0
who,323,1,,,W,,3.0,0,True,1.0
vanished,323,3,,,N,past,,1,True,0.0
?,323,1,,,.,,,2,True,1.0
which,324,2,,,W,,3.0,0,True,2.0
woman,324,2,f,sg,N,,3.0,1,True,1.0
plays,324,2,,sg,N,pres,3.0,2,True,0.0
?,324,1,,,.,,,3,True,1.0
which,325,2,,,W,,3.0,0,True,2.0
woman,325,2,f,sg,N,,3.0,1,True,1.0
sings,325,2,,sg,N,pres,3.0,2,True,0.0
?,325,1,,,.,,,3,True,1.0
which,326,2,,,W,,3.0,0,True,2.0
woman,326,2,f,sg,N,,3.0,1,True,1.0
sneezes,326,3,,sg,N,pres,3.0,2,True,0.0
?,326,1,,,.,,,3,True,1.0
which,327,2,,,W,,3.0,0,True,2.0
woman,327,2,f,sg,N,,3.0,1,True,1.0
played,327,2,,,N,past,,2,True,0.0
?,327,1,,,.,,,3,True,1.0
which,328,2,,,W,,3.0,0,True,2.0
woman,328,2,f,sg,N,,3.0,1,True,1.0
sang,328,2,,,N,past,,2,True,0.0
?,328,1,,,.,,,3,True,1.0
which,329,2,,,W,,3.0,0,True,2.0
woman,329,2,f,sg,N,,3.0,1,True,1.0
sneezed,329,3,,,V,past,,2,True,0.0
?,329,1,,,.,,,3,True,1.0
which,330,2,,,W,,3.0,0,True,2.0
woman,330,2,f,sg,N,,3.0,1,True,1.0
falls,330,2,,sg,N,pres,3.0,2,True,0.0
?,330,1,,,.,,,3,True,1.0
which,331,2,,,W,,3.0,0,True,2.0
woman,331,2,f,sg,N,,3.0,1,True,1.0
disappears,331,3,,sg,N,pres,3.0,2,True,0.0
?,331,1,,,.,,,3,True,1.0
which,332,2,,,W,,3.0,0,True,2.0
woman,332,2,f,sg,N,,3.0,1,True,1.0
vanishes,332,3,,sg,N,pres,3.0,2,True,0.0
?,332,1,,,.,,,3,True,1.0
which,333,2,,,W,,3.0,0,True,2.0
woman,333,2,f,sg,N,,3.0,1,True,1.0
fell,333,2,,,V,past,,2,True,0.0
?,333,1,,,.,,,3,True,1.0
which,334,2,,,W,,3.0,0,True,2.0
woman,334,2,f,sg,N,,3.0,1,True,1.0
disappeared,334,3,,,V,past,,2,True,0.0
?,334,1,,,.,,,3,True,1.0
which,335,2,,,W,,3.0,0,True,2.0
woman,335,2,f,sg,N,,3.0,1,True,1.0
vanished,335,3,,,N,past,,2,True,0.0
?,335,1,,,.,,,3,True,1.0
which,336,2,,,W,,3.0,0,True,2.0
man,336,1,m,sg,N,,3.0,1,True,1.0
plays,336,2,,sg,N,pres,3.0,2,True,0.0
?,336,1,,,.,,,3,True,1.0
which,337,2,,,W,,3.0,0,True,2.0
man,337,1,m,sg,N,,3.0,1,True,1.0
sings,337,2,,sg,N,pres,3.0,2,True,0.0
?,337,1,,,.,,,3,True,1.0
which,338,2,,,W,,3.0,0,True,2.0
man,338,1,m,sg,N,,3.0,1,True,1.0
sneezes,338,3,,sg,N,pres,3.0,2,True,0.0
?,338,1,,,.,,,3,True,1.0
which,339,2,,,W,,3.0,0,True,2.0
man,339,1,m,sg,N,,3.0,1,True,1.0
played,339,2,,,N,past,,2,True,0.0
?,339,1,,,.,,,3,True,1.0
which,340,2,,,W,,3.0,0,True,2.0
man,340,1,m,sg,N,,3.0,1,True,1.0
sang,340,2,,,N,past,,2,True,0.0
?,340,1,,,.,,,3,True,1.0
which,341,2,,,W,,3.0,0,True,2.0
man,341,1,m,sg,N,,3.0,1,True,1.0
sneezed,341,3,,,V,past,,2,True,0.0
?,341,1,,,.,,,3,True,1.0
which,342,2,,,W,,3.0,0,True,2.0
man,342,1,m,sg,N,,3.0,1,True,1.0
falls,342,2,,sg,N,pres,3.0,2,True,0.0
?,342,1,,,.,,,3,True,1.0
which,343,2,,,W,,3.0,0,True,2.0
man,343,1,m,sg,N,,3.0,1,True,1.0
disappears,343,3,,sg,N,pres,3.0,2,True,0.0
?,343,1,,,.,,,3,True,1.0
which,344,2,,,W,,3.0,0,True,2.0
man,344,1,m,sg,N,,3.0,1,True,1.0
vanishes,344,3,,sg,N,pres,3.0,2,True,0.0
?,344,1,,,.,,,3,True,1.0
which,345,2,,,W,,3.0,0,True,2.0
man,345,1,m,sg,N,,3.0,1,True,1.0
fell,345,2,,,V,past,,2,True,0.0
?,345,1,,,.,,,3,True,1.0
which,346,2,,,W,,3.0,0,True,2.0
man,346,1,m,sg,N,,3.0,1,True,1.0
disappeared,346,3,,,V,past,,2,True,0.0
?,346,1,,,.,,,3,True,1.0
which,347,2,,,W,,3.0,0,True,2.0
man,347,1,m,sg,N,,3.0,1,True,1.0
vanished,347,3,,,N,past,,2,True,0.0
?,347,1,,,.,,,3,True,1.0
which,348,2,,,W,,3.0,0,True,1.0
women,348,2,f,pl,N,,3.0,1,True,1.0
play,348,2,,pl,N,pres,,2,True,0.0
?,348,1,,,.,,,3,True,1.0
which,349,2,,,W,,3.0,0,True,1.0
women,349,2,f,pl,N,,3.0,1,True,1.0
sing,349,2,,pl,V,pres,,2,True,0.0
?,349,1,,,.,,,3,True,1.0
which,350,2,,,W,,3.0,0,True,1.0
women,350,2,f,pl,N,,3.0,1,True,1.0
sneeze,350,2,,pl,N,pres,,2,True,0.0
?,350,1,,,.,,,3,True,1.0
which,351,2,,,W,,3.0,0,True,1.0
women,351,2,f,pl,N,,3.0,1,True,1.0
played,351,2,,,N,past,,2,True,0.0
?,351,1,,,.,,,3,True,1.0
which,352,2,,,W,,3.0,0,True,1.0
women,352,2,f,pl,N,,3.0,1,True,1.0
sang,352,2,,,N,past,,2,True,0.0
?,352,1,,,.,,,3,True,1.0
which,353,2,,,W,,3.0,0,True,1.0
women,353,2,f,pl,N,,3.0,1,True,1.0
sneezed,353,3,,,V,past,,2,True,0.0
?,353,1,,,.,,,3,True,1.0
which,354,2,,,W,,3.0,0,True,1.0
women,354,2,f,pl,N,,3.0,1,True,1.0
fall,354,2,,pl,N,pres,,2,True,0.0
?,354,1,,,.,,,3,True,1.0
which,355,2,,,W,,3.0,0,True,1.0
women,355,2,f,pl,N,,3.0,1,True,1.0
disappear,355,3,,pl,N,pres,,2,True,0.0
?,355,1,,,.,,,3,True,1.0
which,356,2,,,W,,3.0,0,True,1.0
women,356,2,f,pl,N,,3.0,1,True,1.0
vanish,356,2,,pl,N,pres,,2,True,0.0
?,356,1,,,.,,,3,True,1.0
which,357,2,,,W,,3.0,0,True,1.0
women,357,2,f,pl,N,,3.0,1,True,1.0
fell,357,2,,,V,past,,2,True,0.0
?,357,1,,,.,,,3,True,1.0
which,358,2,,,W,,3.0,0,True,1.0
women,358,2,f,pl,N,,3.0,1,True,1.0
disappeared,358,3,,,V,past,,2,True,0.0
?,358,1,,,.,,,3,True,1.0
which,359,2,,,W,,3.0,0,True,1.0
women,359,2,f,pl,N,,3.0,1,True,1.0
vanished,359,3,,,N,past,,2,True,0.0
?,359,1,,,.,,,3,True,1.0
which,360,2,,,W,,3.0,0,True,1.0
men,360,1,m,pl,N,,3.0,1,True,1.0
play,360,2,,pl,N,pres,,2,True,0.0
?,360,1,,,.,,,3,True,1.0
which,361,2,,,W,,3.0,0,True,1.0
men,361,1,m,pl,N,,3.0,1,True,1.0
sing,361,2,,pl,V,pres,,2,True,0.0
?,361,1,,,.,,,3,True,1.0
which,362,2,,,W,,3.0,0,True,2.0
men,362,1,m,pl,N,,3.0,1,True,1.0
sneeze,362,2,,pl,N,pres,,2,True,0.0
?,362,1,,,.,,,3,True,1.0
which,363,2,,,W,,3.0,0,True,1.0
men,363,1,m,pl,N,,3.0,1,True,1.0
played,363,2,,,N,past,,2,True,0.0
?,363,1,,,.,,,3,True,1.0
which,364,2,,,W,,3.0,0,True,1.0
men,364,1,m,pl,N,,3.0,1,True,1.0
sang,364,2,,,N,past,,2,True,0.0
?,364,1,,,.,,,3,True,1.0
which,365,2,,,W,,3.0,0,True,1.0
men,365,1,m,pl,N,,3.0,1,True,1.0
sneezed,365,3,,,V,past,,2,True,0.0
?,365,1,,,.,,,3,True,1.0
which,366,2,,,W,,3.0,0,True,1.0
men,366,1,m,pl,N,,3.0,1,True,1.0
fall,366,2,,pl,N,pres,,2,True,0.0
?,366,1,,,.,,,3,True,1.0
which,367,2,,,W,,3.0,0,True,1.0
men,367,1,m,pl,N,,3.0,1,True,1.0
disappear,367,3,,pl,N,pres,,2,True,0.0
?,367,1,,,.,,,3,True,1.0
which,368,2,,,W,,3.0,0,True,1.0
